market,symbol,name,current_weight,cost_basis,target_max_weight,target_min_weight,role,risk_class,allow_add,enabled
US,NVDA,英伟达,38,123.00,45,0,CORE,HIGH,TRUE,TRUE
US,GOOG,谷歌,23.9,364.59,40,0,CORE,MEDIUM,TRUE,TRUE
US,NBIS,Nebius,18.3,149.70,35,0,CORE,HIGH,TRUE,TRUE
US,NEE,NextEra Energy,9.5,82.88,10,0,SATELLITE,LOW,TRUE,TRUE
US,IBKR,盈透证券,1.1,30.98,10,0,SATELLITE,LOW,TRUE,TRUE
US,V,Visa,9,319.92,10,0,SATELLITE,LOW,TRUE,TRUE
US,MU,美光,0,0,15,0,WATCHLIST,HIGH,TRUE,TRUE
US,GEV,GE Vernova,0,0,10,0,WATCHLIST,MEDIUM,TRUE,TRUE
CN,603993,洛阳钼业,20,18.190,35,0,CORE,MEDIUM,TRUE,TRUE
CN,002487,大金重工,20,77.893,35,0,CORE,MEDIUM,TRUE,TRUE
CN,300857,协创数据,38,130.637,45,0,CORE,HIGH,FALSE,TRUE
CN,600406,国电南瑞,6,23.45,20,0,SATELLITE,LOW,TRUE,TRUE
CN,600276,恒瑞医药,6,47.08,20,0,SATELLITE,LOW,TRUE,TRUE
CN,002531,天顺风能,6,9.77,8,0,SATELLITE,LOW,TRUE,TRUE
CN,688008,澜起科技,0,0,45,0,CORE,HIGH,TURE,TRUE
